year,location,location_id,plant_area,crops_area,production_value,production,affected_area,lost_area,lost_amount,lost_value,plant_number,crops_number,station_id,temp_mean,temp_max,temp_min,rain_accu,rain_days,windsp_max,winddir_max,gustsp_max,gustdir_max,humid_mean,humid_min,pressure_mean,sunshine_hours,ups_price,mid_price,downs_price,avg_price_kg,amount_kg,total_sales
100,NTP,1,48.01,45.28,11058,734.73,0,0,0,0,62132,58808,466900,21.6,36.2,5.5,1713.8,158,8.5,340,20.3,330,79.42,18,1011.62,1430.9,0,0,0,0,0,0
100,TPE,2,9.81,9.81,2969,197.25,0,0,0,0,8628,8628,466910,16.5,29.9,0.2,4879,216,17.3,360,30.9,360,90.58,21,920.97,913.2,60.7,40.13,26.85,41.59,7816616,187298722
100,TYN,3,629.86,21.73,3628,241.07,0,0,0,0,764011,758609,466880,22.5,37.6,7.7,1909,169,9.2,270,19,270,74.58,20,1012.5,1373.5,38.76,28.05,19.58,28.5,6965828,153117153
100,TXG,4,962.79,625.3,123938,8235.06,0,0,0,0,1337092,1322715,467490,23.5,35.7,7.9,1204.9,109,6.8,240,16.4,360,71.75,29,1002.75,1842.1,37.81,22.94,15.81,25.62,5383478,109629339
100,TNN,5,1672.66,953.23,300310,19954.17,91.5,4.72,79.4,492.625,2950335,2787535,467410,24,35.4,9.4,1218.8,72,12.2,350,21.6,360,72.42,32,1010.13,1973.2,31.16,21.73,15.27,21.79,2610518.5,44911631.25
100,KHH,6,52.46,1581.04,462178,30709.51,109.38,6.19,123.6445,1422.173,64339,62784,467440,24.9,35.8,11.3,1796.7,85,9.4,350,21.4,350,74.58,38,1012.01,2136.7,29.59,23.75,18.37,23.85,1376102,31766267.38
100,ILA,7,22.93,51.22,13162,874.56,0,0,0,0,17829,16764,467060,22.2,34.7,7.3,4443.8,221,14.1,160,25,360,79.58,20,1011.02,1313.7,0,0,0,0,0,0
100,HSZ,8,82.59,82.15,23011,1528.97,0,0,0,0,119476,118866,467571,22.3,37.2,7.6,1222.6,132,8.1,280,20.6,280,79.67,33,1009.89,1671.4,0,0,0,0,0,0
100,ZMI,9,86.62,86.62,26699,1774,0,0,0,0,114331,114331,466950,21.4,33.1,6.3,1553.5,160,25.9,360,35.9,360,81.08,39,1002.47,1618.1,0,0,0,0,0,0
100,CHW,10,106.88,97.56,39634,2633.48,0,0,0,0,158754,145659,467770,22.5,34.1,7.9,605,91,16.1,360,31,360,77.67,39,1009.85,1964.7,20.95,20.95,20.59,20.6,317,5693.22
100,NTC,11,3186.75,3178.65,916854,60920.52,5,0.25,3.4375,34.375,4025660,4011905,467650,18.9,30.7,5.9,1725.3,133,10,300,19.6,310,82.58,39,901.48,1366.1,37.81,22.94,15.81,25.62,5383478,109629339
100,YUN,12,446.31,440.86,226902,15076.57,36.9,2.72,101.83,537.5,812538,801588,467610,23.3,34.6,11.5,2720.6,179,12,220,22.3,360,78.5,38,1008.61,1300,20.95,20.95,20.59,20.6,317,5693.22
100,CYI,13,2104.87,2016.71,738725,49084.71,241.76,25.06,651.1377,5329.201,3264235,3126574,467480,23.2,36.6,6.2,1021.7,99,8.9,360,18.2,360,78.5,44,1009.51,1876.9,24.43,19.1,14.22,19.1,214335,4073445
100,PIF,14,3422.42,3181.56,1434299,95302.28,382.39,53.35,1505.119,20607.57,5842065,5437936,467590,24.7,33.7,14.2,2597,110,13.7,290,32.6,360,75.92,21,1009.39,1834.9,31.16,21.73,15.27,21.79,2610518.5,44911631.25
100,TTT,15,421.68,363.9,113104,7515.19,39.3,4.14,81.2156,967.076,620096,536522,467660,24,33.9,12.2,2510.6,150,7.9,200,18.1,360,74.83,37,1011.71,1520,36.8,31.8,20.44,32.27,79071,2458933.2
100,HUN,16,466.21,456.09,147245,9783.69,74.91,9.85,340.7,3325.5,714868,698803,466990,23.1,34.2,11.4,2199.5,144,13.6,230,24,180,74.58,34,1011.3,1473.2,0,0,0,0,0,0
100,PEH,17,3.12,3.12,774,51.46,0,0,0,0,3287,3287,467350,22.8,34.1,10.3,609.4,69,13.1,360,26.3,360,79.25,35,1011.92,1826.8,0,0,0,0,0,0
100,KEL,18,3.57,3.57,526,34.92,0,0,0,0,3786,3786,466940,22.2,36.6,8.4,3727,216,13.7,240,22.6,360,77.25,16,1010.81,1173,47.94,38.09,28.3,38.1,4552632,113793221
100,HSC,19,5.64,5.64,1905,126.61,0,0,0,0,8802,8802,466920,22.7,37.7,7.9,1758.6,180,10.7,110,21.4,270,75.92,18,1012.96,1251.6,0,0,0,0,0,0
100,CYC,20,53.14,53.14,14461,960.86,10.2,1.07,14.2449,185.1838,79710,79710,467530,11,22.3,-1.7,3655.6,174,6.4,360,19.3,290,87.83,13,764.27,1309.1,24.43,19.1,14.22,19.1,214335,4073445
100,KNH,21,0,0,0,0,0,0,0,0,0,0,467110,20.6,38.4,4,780.3,73,11.2,350,28.2,180,78,20,1010.92,1868.8,0,0,0,0,0,0
101,NTP,1,61.01,53.58,16706,874.18,2.61,0.63,12.265,218.885,80351,69475,466900,22.1,37.2,7.3,2999.3,169,9.3,160,24.1,150,80.83,32,1010.28,1472.9,0,0,0,0,0,0
101,TPE,2,9.81,9.81,3634,190.16,0.7,0.13,0.77,26.576,8628,8628,466910,17,30.2,0.1,4911.5,217,17.6,360,35,360,89.33,24,920.11,959.2,50.21,33.34,22.93,34.63,7474984,197681198
101,TYN,3,628.53,28.68,5579,291.93,0.3,0.03,0.93,34.41,760580,745960,466880,23,37.2,8.8,3083.3,164,9.1,270,19.4,280,73.42,24,1011.18,1482.2,46.07,33.25,23.41,33.85,6766588,157494994
101,TXG,4,950.03,614.35,125295,6556.51,229.35,79.83,865.851,19846.56,1315155,1303772,467490,23.6,35.1,9,2202.5,141,8.2,220,22,360,73.33,34,1001.69,1795.6,34.69,24.66,18.47,25.99,5820112,126663106
101,TNN,5,1516.66,942.42,394645,20651.21,139.5,8,165.36,1682.89,2672434,2569693,467410,24.4,34.8,9.5,2425.7,107,14.4,320,26.5,360,76.25,37,1008.79,2028.5,34.41,22.67,16.21,22.67,2250665,47584468.5
101,KHH,6,65.07,1458.79,662761,34681.39,158.95,21.67,493.1994,9548.014,83329,82689,467440,26,36.4,11,2196.7,111,12.7,360,24.5,350,76.09,37,1010.5,2267.2,30.51,24.96,20.94,25.26,1401384,33290066
101,ILA,7,31.82,64.64,22664,1185.98,31.21,7.66,151.405,3291.9,27311,24327,467060,22.6,35.4,8.5,4742.8,248,21.1,170,41.9,360,80.75,45,1009.78,1405.5,0,0,0,0,0,0
101,HSZ,8,80.01,80.01,30070,1573.54,5.44,1.66,38.92,1063.18,116472,116472,467571,22.7,37.1,8.2,2741.2,157,9.9,280,25.5,360,80.17,40,1008.72,1637.5,21.69,20.16,18.51,20.16,47855,896158.21
101,ZMI,9,90.87,90.87,36063,1887.14,30.81,9.87,163.08,4908.86,115001,115001,466950,21.7,32.7,6.8,1960.3,177,24.6,360,35,270,81.92,38,1001.16,1646.6,0,0,0,0,0,0
101,CHW,10,97.73,96.23,47425,2481.69,26.35,6.65,136.497,2097.114,145744,143534,467770,22.7,33.1,8.4,1660.8,124,21,360,33.3,360,79.5,42,1008.8,1907.9,20.46,20.33,19.73,19.8,690.5,14346.81
101,NTC,11,3161.12,3154.22,1092179,57152.22,1283.5,260.08,4728.27,104349.5,3973356,3962976,467650,19.2,30.5,5.6,3090.9,160,14.3,330,31.4,330,83.67,33,900.73,1388.8,34.69,24.66,18.47,25.99,5820112,126663106
101,YUN,12,377.28,372.31,241472,12635.89,254,49.15,1613.865,21168.55,685902,675574,467610,23.7,33.4,11.8,2474,205,18.1,220,33.4,240,80.25,43,1007.32,1242.2,20.46,20.33,19.73,19.8,690.5,14346.81
101,CYI,13,2060.33,2047.33,958149,50138.62,773.5,95.39,2196.737,50294.1,3193963,3173712,467480,23.5,35.1,8.6,2201.3,141,10.7,360,21.6,360,79.36,39,1008.15,1634.3,32.32,23.79,15.99,23.79,202075,4760735
101,PIF,14,3105.05,2960.3,1619426,84742.35,680.24,100.36,2840.936,42501.2,5338838,5093267,467590,25.5,33.5,15.6,2942.2,123,20.5,230,41.1,360,77.17,34,1008.66,1969.5,34.41,22.67,16.21,22.67,2250665,47584468.5
101,TTT,15,456.12,433.77,167396,8759.59,349.37,110.99,2499.059,68441.28,668146,635788,467660,24.4,38.1,11.9,2118.2,161,15.3,200,33.9,210,76,31,1010.85,1503.8,0,0,0,0,0,0
101,HUN,16,490.29,472.94,196692,10292.61,173.28,40.64,1044.099,26291.98,755461,727478,466990,23.3,34.6,10.5,2303,183,15.5,180,26.5,180,76.33,37,1010.03,1433.9,0,0,0,0,0,0
